Time (s),Voltage (V)
0.000000,5.0000
0.000010,5.0000
0.000021,5.0000
0.000031,5.0000
0.000042,5.0000
0.000052,5.0000
0.000063,5.0000
0.000073,5.0000
0.000083,5.0000
0.000094,5.0000
0.000104,5.0000
0.000115,5.0000
0.000125,5.0000
0.000135,5.0000
0.000146,5.0000
0.000156,5.0000
0.000167,5.0000
0.000177,5.0000
0.000187,5.0000
0.000198,5.0000
0.000208,5.0000
0.000219,5.0000
0.000229,5.0000
0.000240,5.0000
0.000250,5.0000
0.000260,5.0000
0.000271,5.0000
0.000281,5.0000
0.000292,5.0000
0.000302,5.0000
0.000312,5.0000
0.000323,5.0000
0.000333,5.0000
0.000344,5.0000
0.000354,5.0000
0.000365,5.0000
0.000375,5.0000
0.000385,5.0000
0.000396,5.0000
0.000406,5.0000
0.000417,5.0000
0.000427,5.0000
0.000437,5.0000
0.000448,5.0000
0.000458,5.0000
0.000469,5.0000
0.000479,5.0000
0.000490,5.0000
0.000500,5.0000
0.000510,5.0000
0.000521,0.0000
0.000531,0.0000
0.000542,0.0000
0.000552,0.0000
0.000563,0.0000
0.000573,0.0000
0.000583,0.0000
0.000594,0.0000
0.000604,0.0000
0.000615,0.0000
0.000625,5.0000
0.000635,5.0000
0.000646,5.0000
0.000656,5.0000
0.000667,5.0000
0.000677,5.0000
0.000688,5.0000
0.000698,5.0000
0.000708,5.0000
0.000719,5.0000
0.000729,5.0000
0.000740,5.0000
0.000750,5.0000
0.000760,5.0000
0.000771,5.0000
0.000781,5.0000
0.000792,5.0000
0.000802,5.0000
0.000813,5.0000
0.000823,5.0000
0.000833,5.0000
0.000844,5.0000
0.000854,5.0000
0.000865,5.0000
0.000875,5.0000
0.000885,5.0000
0.000896,5.0000
0.000906,5.0000
0.000917,5.0000
0.000927,5.0000
0.000938,0.0000
0.000948,0.0000
0.000958,0.0000
0.000969,0.0000
0.000979,0.0000
0.000990,0.0000
0.001000,0.0000
0.001010,0.0000
0.001021,0.0000
0.001031,0.0000
0.001042,5.0000
0.001052,5.0000
0.001063,5.0000
0.001073,5.0000
0.001083,5.0000
0.001094,5.0000
0.001104,5.0000
0.001115,5.0000
0.001125,5.0000
0.001135,5.0000
0.001146,5.0000
0.001156,5.0000
0.001167,5.0000
0.001177,5.0000
0.001188,5.0000
0.001198,5.0000
0.001208,5.0000
0.001219,5.0000
0.001229,5.0000
0.001240,5.0000
0.001250,5.0000
0.001260,5.0000
0.001271,5.0000
0.001281,5.0000
0.001292,5.0000
0.001302,5.0000
0.001312,5.0000
0.001323,5.0000
0.001333,5.0000
0.001344,5.0000
0.001354,0.0000
0.001365,0.0000
0.001375,0.0000
0.001385,0.0000
0.001396,0.0000
0.001406,0.0000
0.001417,0.0000
0.001427,0.0000
0.001437,0.0000
0.001448,0.0000
0.001458,5.0000
0.001469,5.0000
0.001479,5.0000
0.001490,5.0000
0.001500,5.0000
0.001510,5.0000
0.001521,5.0000
0.001531,5.0000
0.001542,5.0000
0.001552,5.0000
0.001562,5.0000
0.001573,5.0000
0.001583,5.0000
0.001594,5.0000
0.001604,5.0000
0.001615,5.0000
0.001625,5.0000
0.001635,5.0000
0.001646,5.0000
0.001656,5.0000
0.001667,5.0000
0.001677,5.0000
0.001687,5.0000
0.001698,5.0000
0.001708,5.0000
0.001719,5.0000
0.001729,5.0000
0.001740,5.0000
0.001750,5.0000
0.001760,5.0000
0.001771,0.0000
0.001781,0.0000
0.001792,0.0000
0.001802,0.0000
0.001812,0.0000
0.001823,0.0000
0.001833,0.0000
0.001844,0.0000
0.001854,0.0000
0.001865,0.0000
0.001875,0.0000
0.001885,0.0000
0.001896,0.0000
0.001906,0.0000
0.001917,0.0000
0.001927,0.0000
0.001937,0.0000
0.001948,0.0000
0.001958,0.0000
0.001969,0.0000
0.001979,0.0000
0.001990,0.0000
0.002000,0.0000
0.002010,0.0000
0.002021,0.0000
0.002031,0.0000
0.002042,0.0000
0.002052,0.0000
0.002062,0.0000
